epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,8399.76,1.12048,1.10991,1.40201,0.63054,0.66011,0.67376,0.52907,0.93764,1.27664,1.36361,0.000180012,0.000180012,0.000180012
84,8501.33,1.12188,1.10087,1.40765,0.55753,0.7328,0.67762,0.52409,0.97016,1.25835,1.39925,0.000178512,0.000178512,0.000178512
85,8601.57,1.11921,1.08836,1.40439,0.62932,0.66588,0.67748,0.53113,0.94062,1.26485,1.35779,0.000177013,0.000177013,0.000177013
86,8700.35,1.11358,1.08689,1.39647,0.59211,0.70141,0.6947,0.54503,0.95178,1.21793,1.37248,0.000175513,0.000175513,0.000175513
87,8800.09,1.11179,1.09347,1.40756,0.6649,0.64697,0.69602,0.5508,0.936,1.20065,1.35401,0.000174013,0.000174013,0.000174013
88,8906.68,1.09964,1.083,1.39818,0.64063,0.66265,0.68568,0.54468,0.92506,1.1844,1.34024,0.000172513,0.000172513,0.000172513
89,9004.96,1.11321,1.08819,1.39401,0.59516,0.72238,0.68739,0.53876,0.95046,1.23216,1.36271,0.000171013,0.000171013,0.000171013
90,9103.83,1.089,1.0407,1.38793,0.62794,0.69944,0.68668,0.53611,0.96428,1.24127,1.37119,0.000169513,0.000169513,0.000169513
91,9203.55,1.09793,1.06061,1.39316,0.62173,0.68183,0.68773,0.53747,0.94598,1.19005,1.3518,0.000168013,0.000168013,0.000168013
92,9304.95,1.10792,1.07415,1.39831,0.63837,0.69253,0.70265,0.55226,0.92558,1.17835,1.352,0.000166514,0.000166514,0.000166514
93,9412.21,1.08246,1.03481,1.37864,0.63917,0.64516,0.66641,0.52229,0.91601,1.1939,1.33096,0.000165014,0.000165014,0.000165014
94,9512.49,1.10399,1.04623,1.39042,0.64054,0.65551,0.67553,0.53052,0.95177,1.26372,1.3635,0.000163514,0.000163514,0.000163514
95,9612.81,1.08802,1.01928,1.38068,0.61459,0.6356,0.66533,0.52242,0.93652,1.2972,1.36571,0.000162014,0.000162014,0.000162014
96,9711.83,1.09033,1.02311,1.37327,0.65981,0.63642,0.68964,0.53925,0.95971,1.2495,1.39325,0.000160514,0.000160514,0.000160514
97,9811.46,1.07562,1.02703,1.37695,0.68309,0.63288,0.6743,0.52794,0.93291,1.22063,1.35957,0.000159014,0.000159014,0.000159014
